filename,module_name,module_params,execution_time,retrieval_f1,retrieval_recall,retrieval_precision,retrieval_map,retrieval_mrr,retrieval_ndcg,is_best
0.parquet,VectorDB,"{'top_k': 1, 'embedding_model': 'openai_embed_3_small'}",0.009659844532347563,0.5,0.5,0.5,0.5,0.5,0.5,False
1.parquet,VectorDB,"{'top_k': 1, 'embedding_model': 'openai'}",0.048091708568104526,0.5,0.5,0.5,0.5,0.5,0.5,False
2.parquet,VectorDB,"{'top_k': 3, 'embedding_model': 'openai_embed_3_small'}",0.03626913982525207,0.36403508771929827,0.7280701754385965,0.24269005847953215,0.6008771929824561,0.6008771929824561,0.6335597000939892,True
3.parquet,VectorDB,"{'top_k': 3, 'embedding_model': 'openai'}",0.06488584217272307,0.36403508771929827,0.7280701754385965,0.24269005847953215,0.6008771929824561,0.6008771929824561,0.6335597000939892,False
4.parquet,VectorDB,"{'top_k': 5, 'embedding_model': 'openai_embed_3_small'}",0.015368430238021048,0.2690058479532164,0.8070175438596491,0.1614035087719298,0.6200292397660819,0.6200292397660819,0.6670153247612752,False
5.parquet,VectorDB,"{'top_k': 5, 'embedding_model': 'openai'}",0.08258615669451262,0.2690058479532164,0.8070175438596491,0.1614035087719298,0.6192982456140351,0.6192982456140351,0.666407224393498,False
6.parquet,VectorDB,"{'top_k': 10, 'embedding_model': 'openai_embed_3_small'}",0.053472746882522314,0.16267942583732062,0.8947368421052632,0.08947368421052632,0.6319862155388472,0.6319862155388472,0.6957787114550293,False
7.parquet,VectorDB,"{'top_k': 10, 'embedding_model': 'openai'}",0.5361127372373614,0.16267942583732062,0.8947368421052632,0.08947368421052632,0.6319862155388472,0.6319862155388472,0.6957787114550293,False
8.parquet,VectorDB,"{'top_k': 50, 'embedding_model': 'openai_embed_3_small'}",0.036454156825416965,0.03749570003439972,0.956140350877193,0.019122807017543857,0.6350903924484256,0.6350903924484256,0.7096723426227723,False
9.parquet,VectorDB,"{'top_k': 50, 'embedding_model': 'openai'}",0.031339264752572045,0.03749570003439972,0.956140350877193,0.019122807017543857,0.6350903924484256,0.6350903924484256,0.7096723426227723,False
